amfi_code,var_95_pct,cvar_95_pct,hhi
100016,-1.2884,-1.6768,0.139534
100025,-0.3338,-0.4581,0.0
100033,-1.6902,-2.185,0.147592
101206,-1.2173,-1.6075,0.129332
101207,-2.3915,-3.0289,0.2007
101208,-0.0218,-0.0371,0.0
102885,-1.1047,-1.4381,0.174709
102886,-1.6857,-2.1771,0.114693
102887,-1.3743,-1.7964,0.129805
118632,-1.2333,-1.6328,0.168298
118633,-1.2066,-1.5542,0.121461
118634,-2.281,-2.994,0.108358
118635,-1.1033,-1.4938,0.135944
118636,-0.3344,-0.4541,0.0
119092,-1.2693,-1.6166,0.206448
119093,-1.2588,-1.6332,0.130894
119094,-1.6997,-2.2375,0.136406
119095,-2.3284,-2.969,0.109605
119120,-0.3429,-0.4618,0.0
119551,-1.1827,-1.523,0.118716
119552,-1.2129,-1.6078,0.108011
119598,-2.1502,-2.8444,0.107349
119599,-2.3155,-3.0163,0.174751
120503,-1.2133,-1.61,0.14087
120504,-1.2531,-1.6226,0.108674
120505,-1.6224,-2.2363,0.15757
120506,-1.3005,-1.7792,0.153794
120507,-0.0196,-0.0325,0.0
120841,-1.1725,-1.5249,0.14968
120842,-1.695,-2.1251,0.127439
120843,-1.3327,-1.7114,0.128683
120844,-0.0204,-0.0362,0.0
125497,-1.2502,-1.6964,0.136586
125498,-1.6762,-2.1484,0.152414
148567,-1.2607,-1.6343,0.138584
148568,-1.3313,-1.7384,0.16793
148569,-1.5259,-1.9852,0.149396
149322,-1.2955,-1.6995,0.134398
149323,-1.5866,-2.0903,0.141621
149324,-2.152,-2.8573,0.118677
